F1,F2,F3,F4,F1_s,F2_s,F3_s,F4_s,B1,B2,B3,B4,error,time,max_formant,n_formant,smooth_method,file_name,id,group,label
368.862009068716,1128.5357756930555,2421.414752579901,3249.9006371340106,366.1278361796806,1114.6498660006685,2421.1786129693664,3249.827762198065,146.65391409565913,319.79055055453153,648.416828578296,99.03678161144083,0.000044975583954577174,0.012747165532879821,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
366.0704579868784,1112.0908956692929,2423.7634979657814,3247.875839075466,366.32900648057506,1115.3947444667913,2425.0562249350396,3249.0238826368495,145.7286312915669,303.22820976297385,644.4869357836367,95.60131117983771,0.000044975583954577174,0.014747165532879823,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
364.8067766237606,1106.399963857091,2432.031011496617,3247.3413321337616,366.6834785535167,1117.1680549539774,2433.8791488980346,3248.000594538069,144.0183184532884,274.9796309033372,639.1877993081551,90.51551958527254,0.000044975583954577174,0.01674716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
365.2631675557908,1113.6426429138094,2451.5989348534617,3248.685535393512,367.15484765669333,1120.4251599124382,2449.3494345134,3247.6229921485783,141.84905910516366,241.9430237627896,636.3029789446762,86.11197155387707,0.000044975583954577174,0.01874716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
366.9267061327771,1124.9532077052093,2476.650987855249,3250.5407505454677,367.79449774963416,1125.6022082179989,2473.0299256709272,3248.5856886912898,139.7603904435824,209.87055814459822,638.9621134832563,84.0282249322675,0.000044975583954577174,0.02074716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
369.4867145847546,1136.507565281136,2505.9491646300903,3252.1478717251057,368.7744828596553,1132.9023360524848,2505.413381104684,3251.049462698911,138.44485811088708,181.9590264324849,648.0727933732771,84.67981255532459,0.000044975583954577174,0.022747165532879823,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
371.9121238713959,1147.3863682272492,2541.4814934979463,3253.7327194945397,370.3343253532039,1142.1247294948166,2545.089604610951,3254.560754061757,138.5808350791406,159.19813241890884,661.4900106934205,87.2055539451404,0.000044975583954577174,0.024747165532879818,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
373.81347116363446,1156.76412158662,2585.834490634713,3256.3555149439876,372.6454788649186,1152.5935275852473,2588.2945716008257,3258.3085869406127,140.59401840450454,141.41306671646046,674.1567469263812,89.66581099412835,0.000044975583954577174,0.02674716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
375.90051085736525,1163.693672341297,2630.0861776355227,3259.9877545757645,375.6490287142651,1163.2186321415297,2629.0808154077745,3261.599986172641,144.3997172878455,128.17522783410175,679.4856841129497,89.78291641258171,0.000044975583954577174,0.028747165532879822,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
378.46066175203487,1169.4515656083913,2661.048514652031,3263.6924214584137,378.95166160127224,1172.6852031980206,2660.215321062144,3264.3138967848404,149.19258859917167,119.30213915627206,671.8813181498813,86.28338207694614,0.000044975583954577174,0.030747165532879824,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
380.83427539208157,1175.2612744288435,2674.6772279685474,3268.1111783175274,381.8535362173782,1179.7319647661668,2674.706192362301,3267.0871499282653,153.42021709809663,114.99666124386586,649.3261775180032,79.8542044645863,0.000044975583954577174,0.032747165532879825,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
382.4030766985578,1180.2683761531994,2669.560047961585,3273.9088768934116,383.530181095206,1183.4504138555894,2667.635088446247,3271.102379388168,155.14499953610775,115.78061892477587,614.3818380930991,72.65508639458889,0.000044975583954577174,0.03474716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
382.5625396023464,1183.0842117042316,2640.3457348612087,3280.14350573172,383.319851199644,1183.525937304752,2637.805676833489,3277.535975558223,152.85525844982942,122.32481773158348,572.8905135437377,66.91011452945756,0.000044975583954577174,0.03674716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
381.1192085294225,1183.1921846785156,2586.02961353214,3286.8132525660503,381.01008863865025,1180.3518835736259,2588.682791716273,3286.8967439023127,146.34906060440858,135.1183313405145,531.4075159925558,63.93891517402047,0.000044975583954577174,0.038747165532879824,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
378.7407938480214,1180.2275907696942,2525.576263616339,3294.933455629133,377.0012681402283,1174.9773369268728,2528.231138400836,3298.5596698425734,137.01331511154336,153.7907731803921,495.0870417696581,64.00612129775341,0.000044975583954577174,0.04074716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
374.9261450405296,1172.9522853796282,2466.6600452931966,3306.019635428933,372.26205764820463,1168.891554316051,2467.547019968863,3310.7345014902057,127.21729117758743,176.06292196739386,466.91650324078756,66.4598942910053,0.000044975583954577174,0.04274716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
369.156632217184,1163.0183790307808,2418.8728147270094,3318.9171195538934,368.069734363024,1163.6916128390592,2418.5331719656842,3320.929588877577,119.31590474581301,196.9944444859503,448.0694950430712,69.84086929397877,0.000044975583954577174,0.04474716553287982,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
361.86175601729053,1154.6677433186264,2393.327860991819,3333.3875223300256,365.61566562679053,1160.7126587405785,2391.180514286314,3326.755307071783,114.96744417865696,209.95996868365765,438.7071738677387,72.24540957182987,0.000044975583954577174,0.046747165532879824,4473.684210526316,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-0-5,group_0,õ
596.5789883224091,2452.4199240679354,3063.183964402818,4391.189927853477,594.9248786096176,2434.761867709609,3051.892977870147,4075.277569631143,157.82804187328824,110.06010098486841,2056.183053765294,624.5419761348722,0.003815649736910778,0.012747165532879818,6210.526315789473,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-2-0,group_0,u
608.273256794888,2464.2916786578257,3347.1446002259845,4096.183983411163,591.500620924929,2433.0238082985525,3028.097334065991,4068.077662758457,157.48546063034266,115.11393728885352,1920.808708840146,592.7909507418957,0.003815649736910778,0.01474716553287982,6210.526315789473,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-2-0,group_0,u
612.6034294715237,2468.5803165314924,3303.775462303278,3966.7351857304307,584.8466051612374,2429.699508592413,2982.378535607813,4054.1658620281687,156.9002729547707,125.4495590242582,1685.2473044196947,535.4346338364695,0.003815649736910778,0.016747165532879818,6210.526315789473,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-2-0,group_0,u
595.4305347839872,2453.566527573514,2973.455949137306,3937.320377122673,575.3390366370538,2425.078888642452,2918.3397054948737,4034.48010915587,156.260442926585,141.40904582719298,1403.0647102550631,462.54783040835304,0.003815649736910778,0.018747165532879816,6210.526315789473,4,dct_smooth_regression,habitanteysuesperanza_01_neruda_128kb_00,0-0-2-0,group_0,u
