file,label,group,color,number
63_2_0026.wav,AE,2,Blue,721
63_2_0027.wav,AE,2,Blue,722
63_2_0028.wav,IY,13,Pink,723
63_2_0029.wav,OW,14,Maroon,724
63_2_0030.wav,IY,13,Pink,725
63_2_0031.wav,ER,9,Lime,726
63_2_0032.wav,EH,8,Black,727
63_2_0033.wav,EY,10,Purple,728
63_2_0034.wav,AE,2,Blue,729
63_2_0035.wav,AH,3,Black,730
63_2_0036.wav,EY,10,Purple,731
63_2_0037.wav,EY,10,Purple,732
63_2_0038.wav,AH,3,Black,733
67_1_0001.wav,IY,13,Pink,734
67_1_0002.wav,AA,1,Red,735
67_1_0003.wav,EH,8,Black,736
67_1_0004.wav,AH,3,Black,737
67_1_0005.wav,AE,2,Blue,738
67_1_0006.wav,ER,9,Lime,739
67_1_0007.wav,AH,3,Black,740
67_1_0008.wav,IH,11,Teal,741
67_1_0009.wav,IY,13,Pink,742
67_1_0010.wav,IH,11,Teal,743
67_1_0011.wav,IH,11,Teal,744
67_1_0012.wav,ER,9,Lime,745
67_1_0013.wav,ER,9,Lime,746
67_1_0014.wav,AO,4,Green,747
67_1_0015.wav,IH,11,Teal,748
67_1_0016.wav,UW,17,Cyan,749
67_1_0017.wav,AH,3,Black,750
67_1_0018.wav,EH,8,Black,751
67_1_0019.wav,OW,14,Maroon,752
67_1_0020.wav,IY,13,Pink,753
67_2_0001.wav,AY,7,Magenta,754
67_2_0002.wav,IH,11,Teal,755
67_2_0003.wav,AE,2,Blue,756
67_2_0004.wav,AH,3,Black,757
67_2_0005.wav,UW,17,Cyan,758
67_2_0006.wav,IY,13,Pink,759
67_2_0007.wav,AE,2,Blue,760
67_2_0008.wav,EY,10,Purple,761
67_2_0009.wav,IY,13,Pink,762
67_2_0010.wav,AH,3,Black,763
67_2_0011.wav,AE,2,Blue,764
67_2_0012.wav,ER,9,Lime,765
67_2_0013.wav,ER,9,Lime,766
67_2_0014.wav,AH,3,Black,767
67_2_0015.wav,ER,9,Lime,768
67_2_0016.wav,AA,1,Red,769
67_3_0001.wav,IY,13,Pink,770
67_3_0002.wav,AA,1,Red,771
67_3_0003.wav,OW,14,Maroon,772
67_3_0004.wav,IY,13,Pink,773
67_3_0005.wav,AH,3,Black,774
67_3_0006.wav,AO,4,Green,775
67_3_0007.wav,AE,2,Blue,776
67_3_0008.wav,IH,11,Teal,777
67_3_0009.wav,EY,10,Purple,778
67_3_0010.wav,AE,2,Blue,779
67_3_0011.wav,AH,3,Black,780
67_3_0012.wav,IH,11,Teal,781
67_3_0013.wav,OY,15,Grey,782
67_3_0014.wav,AA,1,Red,783
67_3_0015.wav,ER,9,Lime,784
67_3_0016.wav,AH,3,Black,785
67_3_0017.wav,IH,11,Teal,786
67_4_0001.wav,IY,13,Pink,787
67_4_0002.wav,AH,3,Black,788
67_4_0003.wav,UW,17,Cyan,789
67_4_0004.wav,IY,13,Pink,790
67_4_0005.wav,IH,11,Teal,791
67_4_0006.wav,IH,11,Teal,792
67_4_0007.wav,AH,3,Black,793
67_4_0008.wav,IY,13,Pink,794
67_4_0009.wav,EH,8,Black,795
67_4_0010.wav,AE,2,Blue,796
67_4_0011.wav,AE,2,Blue,797
67_4_0012.wav,IY,13,Pink,798
67_4_0013.wav,OW,14,Maroon,799
67_4_0014.wav,IY,13,Pink,800
67_4_0015.wav,ER,9,Lime,801
67_4_0016.wav,EH,8,Black,802
67_4_0017.wav,EY,10,Purple,803
67_4_0018.wav,AE,2,Blue,804
67_4_0019.wav,EY,10,Purple,805
67_4_0020.wav,EY,10,Purple,806
67_4_0021.wav,AH,3,Black,807
68_0_0001.wav,IY,13,Pink,808
68_0_0002.wav,AA,1,Red,809
68_0_0003.wav,EH,8,Black,810
68_0_0004.wav,AH,3,Black,811
68_0_0005.wav,AE,2,Blue,812
68_0_0006.wav,ER,9,Lime,813
68_0_0007.wav,AH,3,Black,814
68_0_0008.wav,IH,11,Teal,815
68_0_0009.wav,IY,13,Pink,816
68_0_0010.wav,IH,11,Teal,817
68_0_0011.wav,IH,11,Teal,818
68_0_0012.wav,ER,9,Lime,819
68_0_0013.wav,ER,9,Lime,820
68_0_0014.wav,AH,3,Black,821
68_0_0015.wav,AO,4,Green,822
68_1_0001.wav,IH,11,Teal,823
68_1_0002.wav,UW,17,Cyan,824
68_1_0003.wav,AH,3,Black,825
68_1_0004.wav,EH,8,Black,826
68_1_0005.wav,OW,14,Maroon,827
68_1_0006.wav,IY,13,Pink,828
68_1_0007.wav,AY,7,Magenta,829
68_1_0008.wav,IH,11,Teal,830
68_1_0009.wav,AE,2,Blue,831
68_1_0010.wav,AH,3,Black,832
68_1_0011.wav,UW,17,Cyan,833
68_1_0012.wav,IY,13,Pink,834
68_1_0013.wav,AH,3,Black,835
68_1_0014.wav,EY,10,Purple,836
68_1_0015.wav,IY,13,Pink,837
68_1_0016.wav,AH,3,Black,838
68_1_0017.wav,AE,2,Blue,839
68_1_0018.wav,ER,9,Lime,840
